simulation,G1,G2,correlation,distance
2,1.0000,25.0000,0.238229,0.286964
2,1.0000,30.0000,0.348551,0.232520
2,2.0000,0.1000,0.207012,0.264684
2,2.0000,0.2000,0.161839,0.287191
2,2.0000,0.3000,0.185702,0.258186
2,2.0000,0.4000,0.217036,0.236644
2,2.0000,0.5000,0.260287,0.240676
2,2.0000,0.6000,0.187430,0.224199
2,2.0000,0.7000,0.244085,0.236753
2,2.0000,0.8000,0.125624,0.280943
2,2.0000,0.9000,0.275112,0.223401
2,2.0000,1.0000,0.164827,0.291563
2,2.0000,2.0000,0.164989,0.258343
2,2.0000,3.0000,0.276569,0.232656
2,2.0000,4.0000,0.244024,0.246913
2,2.0000,5.0000,0.319557,0.241642
2,2.0000,10.0000,0.373524,0.222119
2,2.0000,15.0000,0.338367,0.241041
2,2.0000,20.0000,0.293163,0.260264
2,2.0000,25.0000,0.265211,0.263847
2,2.0000,30.0000,0.321212,0.246341
2,3.0000,0.1000,0.157290,0.322505
2,3.0000,0.2000,0.132564,0.322890
2,3.0000,0.3000,0.157863,0.321974
2,3.0000,0.4000,0.107463,0.324992
2,3.0000,0.5000,0.135157,0.337663
2,3.0000,0.6000,0.201848,0.369489
2,3.0000,0.7000,0.080365,0.393717
2,3.0000,0.8000,0.166195,0.351752
2,3.0000,0.9000,0.128412,0.353966
2,3.0000,1.0000,0.108597,0.347095
2,3.0000,2.0000,0.124129,0.331589
2,3.0000,3.0000,0.158961,0.310251
2,3.0000,4.0000,0.142366,0.316906
2,3.0000,5.0000,0.180034,0.314131
2,3.0000,10.0000,0.215226,0.321813
2,3.0000,15.0000,0.271522,0.307318
2,3.0000,20.0000,0.289280,0.272614
2,3.0000,25.0000,0.298245,0.273688
2,3.0000,30.0000,0.325435,0.270265
2,4.0000,0.1000,0.137005,0.344255
2,4.0000,0.2000,0.107156,0.391911
2,4.0000,0.3000,0.102083,0.376572
2,4.0000,0.4000,0.102337,0.420371
2,4.0000,0.5000,0.113661,0.383324
2,4.0000,0.6000,0.093845,0.441002
2,4.0000,0.7000,0.111343,0.444053
2,4.0000,0.8000,0.136856,0.326593
2,4.0000,0.9000,0.084609,0.442616
2,4.0000,1.0000,0.148389,0.354039
2,4.0000,2.0000,0.023896,0.560550
2,4.0000,3.0000,0.178490,0.346167
2,4.0000,4.0000,0.133541,0.453026
2,4.0000,5.0000,0.197779,0.308375
2,4.0000,10.0000,0.193877,0.323251
2,4.0000,15.0000,0.181626,0.328802
2,4.0000,20.0000,0.195333,0.334262
2,4.0000,25.0000,0.222466,0.310551
2,4.0000,30.0000,0.211707,0.314301
2,5.0000,0.1000,0.090130,0.426116
2,5.0000,0.2000,0.144503,0.317953
2,5.0000,0.3000,0.122566,0.348394
2,5.0000,0.4000,0.132999,0.362540
2,5.0000,0.5000,0.120942,0.390676
2,5.0000,0.6000,0.163096,0.318395
2,5.0000,0.7000,0.146881,0.372795
2,5.0000,0.8000,0.086642,0.424747
2,5.0000,0.9000,0.117705,0.520522
2,5.0000,1.0000,0.099929,0.401829
2,5.0000,2.0000,0.202113,0.518398
2,5.0000,3.0000,0.154885,0.465862
2,5.0000,4.0000,0.123203,0.475953
2,5.0000,5.0000,0.064830,0.462484
2,5.0000,10.0000,0.052189,0.452509
2,5.0000,15.0000,0.154164,0.464846
2,5.0000,20.0000,0.082002,0.425473
2,5.0000,25.0000,0.093988,0.454174
2,5.0000,30.0000,0.202005,0.334669
2,10.0000,0.1000,0.129108,0.400353
2,10.0000,0.2000,0.141877,0.428822
2,10.0000,0.3000,0.127472,0.397937
